,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
0,20,11622,1,3,3,4,0,12,1,2,0,2,5,6,1961,1961,1,0,3,4,1,0,4,1,896,0,0,896,1,0,2,1,5,0,2,140,0,0,0,120,0,0,6,2010,4,122796.8
1,20,14267,1,0,3,0,0,12,2,2,0,2,6,6,1958,1958,3,0,3,4,1,0,4,1,1329,0,0,1329,1,1,3,1,6,0,2,393,36,0,0,0,0,12500,6,2010,4,149167.3
2,60,13830,1,0,3,4,0,8,2,2,0,4,5,5,1997,1998,1,0,3,4,2,0,2,1,928,701,0,1629,2,1,3,1,6,1,2,212,34,0,0,0,0,0,3,2010,4,161142.7
3,60,9978,1,0,3,4,0,8,2,2,0,4,6,6,1998,1998,1,0,3,4,2,0,0,1,926,678,0,1604,2,1,3,1,7,1,2,360,36,0,0,0,0,0,6,2010,4,192474.1
4,120,5005,1,0,1,4,0,22,2,2,4,2,8,5,1992,1992,1,0,2,4,2,0,0,1,1280,0,0,1280,2,0,2,1,5,0,2,0,82,0,0,144,0,0,1,2010,4,200670.4
5,60,10000,1,0,3,0,0,8,2,2,0,4,6,5,1993,1994,1,0,3,4,2,0,2,1,763,892,0,1655,2,1,3,1,7,1,2,157,84,0,0,0,0,0,4,2010,4,173361.8
6,20,7980,1,0,3,4,0,8,2,2,0,2,6,7,1992,2007,1,0,3,2,2,0,0,1,1187,0,0,1187,2,0,3,1,6,0,2,483,21,0,0,0,0,500,3,2010,4,181335.8
7,60,8402,1,0,3,4,0,8,2,2,0,4,6,5,1998,1998,1,0,3,4,2,0,2,1,789,676,0,1465,2,1,3,1,7,1,2,0,75,0,0,0,0,0,5,2010,4,163405.0
8,20,10176,1,3,3,4,0,8,2,2,0,2,7,5,1990,1990,1,0,3,4,2,0,2,1,1341,0,0,1341,1,1,2,1,5,1,2,192,0,0,0,0,0,0,2,2010,4,185505.9
9,20,8400,1,3,3,0,0,12,2,2,0,2,4,5,1970,1970,1,0,3,4,1,0,4,1,882,0,0,882,1,0,2,1,4,0,2,240,0,0,0,0,0,0,4,2010,4,91537.5
10,120,5858,1,0,3,2,0,12,2,2,4,2,7,5,1999,1999,1,0,2,4,2,0,0,1,1337,0,0,1337,2,0,2,1,5,1,2,203,68,0,0,0,0,0,6,2010,4,194790.0
11,160,1680,1,3,3,4,0,2,2,2,3,4,6,5,1971,1971,1,0,3,4,1,0,4,1,483,504,0,987,1,1,2,1,5,0,2,275,0,0,0,0,0,0,2,2010,4,97156.0
12,160,1680,1,3,3,4,0,2,2,2,3,4,5,5,1971,1971,1,0,3,4,1,0,4,1,525,567,0,1092,1,1,3,1,6,0,2,0,0,0,0,0,0,0,3,2010,4,74274.3
13,160,2280,1,3,3,2,0,13,2,2,3,4,6,6,1975,1975,1,0,3,4,1,0,4,1,855,601,0,1456,2,1,3,1,6,1,2,173,0,0,0,0,0,0,6,2010,4,137540.7
14,120,2280,1,3,3,2,0,13,2,2,3,2,7,6,1975,1975,1,0,3,4,1,0,0,1,836,0,0,836,1,0,2,1,4,0,2,0,30,0,0,0,0,0,6,2010,4,119837.5
15,60,12858,1,0,3,4,0,16,2,2,0,4,9,5,2009,2010,1,0,0,4,2,0,0,1,1627,707,0,2334,2,1,3,1,10,1,2,144,133,0,0,0,0,0,1,2010,5,349165.4
16,20,12883,1,0,3,0,0,16,2,2,0,2,8,5,2009,2010,1,0,2,4,2,0,0,1,1544,0,0,1544,2,0,3,1,7,0,2,0,35,0,0,0,0,0,6,2010,5,247065.7
17,20,11520,1,3,3,4,0,16,4,2,0,2,9,5,2005,2005,3,0,2,4,2,0,0,1,1698,0,0,1698,2,0,3,1,7,1,2,192,74,0,0,0,0,0,6,2010,4,273075.1
18,20,14122,1,0,3,4,0,16,2,2,0,2,8,5,2005,2006,3,0,2,4,2,0,0,1,1822,0,0,1822,2,0,3,1,8,1,2,0,119,0,0,0,0,0,2,2010,4,270022.6
19,20,14300,1,3,1,4,1,16,2,2,0,2,9,5,2003,2004,3,0,0,4,2,0,0,1,2696,0,0,2696,2,1,3,1,10,2,2,220,150,0,0,0,0,0,6,2010,4,393558.8
20,60,13650,1,3,3,0,0,16,2,2,0,4,8,5,2002,2002,1,0,2,4,2,0,0,1,1687,563,0,2250,2,1,3,1,7,1,2,238,130,0,0,0,0,0,6,2010,4,272816.4
21,120,7132,1,0,3,4,0,16,2,2,4,2,8,5,2006,2006,1,0,2,4,2,0,0,1,1370,0,0,1370,2,0,2,1,6,1,2,120,49,0,0,0,0,0,4,2010,4,223052.6
22,20,18494,1,0,3,0,0,8,2,2,0,2,6,5,2005,2005,1,0,2,4,2,0,0,1,1324,0,0,1324,2,0,3,1,6,0,2,36,23,0,0,0,0,0,1,2010,4,189837.2
23,120,3203,1,3,3,4,0,0,2,2,4,2,7,5,2006,2006,1,0,2,4,2,0,0,1,1145,0,0,1145,2,0,2,1,6,0,2,100,116,0,0,0,0,0,1,2010,4,171402.6
24,80,13300,1,0,3,4,0,8,2,2,0,6,7,5,2004,2004,1,0,2,4,2,0,0,1,744,630,0,1374,2,1,3,1,7,1,2,100,0,0,0,0,0,0,6,2010,4,199593.8
25,60,8577,1,0,3,4,0,8,2,2,0,4,7,5,2004,2004,1,0,2,4,2,0,0,1,847,886,0,1733,2,1,3,1,7,1,2,144,48,0,0,0,0,0,4,2010,4,217987.5
26,60,17433,1,1,3,1,0,15,2,2,0,4,8,5,1998,1998,3,0,2,4,2,0,0,1,1645,830,0,2475,2,1,4,1,7,1,2,23,172,0,0,256,0,0,1,2010,4,286589.1
27,20,8987,1,3,3,4,0,21,2,2,0,2,8,5,2005,2006,1,0,2,4,2,0,0,1,1595,0,0,1595,2,0,2,1,6,1,2,144,0,0,0,0,0,0,5,2010,4,256045.5
28,20,9215,1,3,3,4,0,21,2,2,0,2,7,5,2009,2010,3,0,2,4,2,0,0,1,1218,0,0,1218,2,0,2,1,4,0,2,0,136,0,0,0,0,0,4,2010,5,205131.7
29,20,10440,1,3,3,0,0,21,2,2,0,2,6,5,2005,2005,1,0,2,4,2,0,0,1,1468,0,0,1468,2,0,2,1,6,1,2,0,102,0,0,216,0,0,5,2010,4,226029.7
30,60,11920,1,3,3,4,0,20,2,2,0,4,7,5,2004,2004,1,0,2,4,2,0,0,1,831,828,0,1659,2,1,3,1,8,0,2,144,68,0,0,0,0,0,4,2010,4,222701.1
31,30,9800,1,3,3,0,0,20,1,2,0,2,5,5,1920,1950,1,0,3,1,0,0,4,0,1012,0,0,1012,1,0,2,1,5,0,2,121,0,80,0,0,0,0,4,2010,4,104012.4
32,20,15410,1,0,3,1,0,19,7,2,0,2,6,6,1974,2002,3,0,3,2,1,0,0,1,1494,0,0,1494,2,0,3,1,7,2,2,296,0,186,0,0,0,0,4,2010,0,190443.8
